number,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,2/4/15 17:51,23.18,27.272,426,721.25,0.004792988,1
2,2/4/15 17:51,23.15,27.2675,429.5,714,0.004783441,1
3,2/4/15 17:53,23.15,27.245,426,713.5,0.004779464,1
4,2/4/15 17:54,23.15,27.2,426,708.25,0.004771509,1
5,2/4/15 17:55,23.1,27.2,426,704.5,0.004756993,1
6,2/4/15 17:55,23.1,27.2,419,701,0.004756993,1
7,2/4/15 17:57,23.1,27.2,419,701.6666667,0.004756993,1
8,2/4/15 17:57,23.1,27.2,419,699,0.004756993,1
9,2/4/15 17:58,23.1,27.2,419,689.3333333,0.004756993,1
10,2/4/15 18:00,23.075,27.175,419,688,0.004745351,1
11,2/4/15 18:01,23.075,27.15,419,690.25,0.004740952,1
12,2/4/15 18:02,23.1,27.1,419,691,0.004739371,1
13,2/4/15 18:03,23.1,27.16666667,419,683.5,0.004751119,1
14,2/4/15 18:04,23.05,27.15,419,687.5,0.004733732,1
15,2/4/15 18:04,23,27.125,419,686,0.004714942,1
16,2/4/15 18:06,23,27.125,418.5,680.5,0.004714942,1
17,2/4/15 18:07,23,27.2,0,681.5,0.004728078,0